Section,Metric,Value
metadata,ticker,HVN
metadata,as_of,2025-09-12
metadata,source,/Users/minhquan/Documents/SIIF/HVN_2023-09-28.pdf
units,currency,AUD
units,scale,1000000
income_statement,revenue,4275000
income_statement,gross_profit,891966
income_statement,operating_income,776082
income_statement,net_income,539520
income_statement,eps_basic,43.3
income_statement,eps_diluted,43.23
balance_sheet,total_assets,4466000
balance_sheet,total_liabilities,3210000
balance_sheet,total_equity,4460000
balance_sheet,shares_outstanding,1246006654
cash_flow,operating_cf,680260
cash_flow,investing_cf,-333484
cash_flow,financing_cf,-379075
cash_flow,free_cf,346776
derived,pe_ratio_basic,
derived,pe_ratio_diluted,
derived,profit_margin,0.12620350877192982
derived,return_on_equity,0.12096860986547085
derived,gross_margin,0.20864701754385964
derived,operating_margin,0.181539649122807
derived,debt_to_equity,0.7197309417040358
derived,asset_turnover,0.9572324227496641
derived,free_cash_flow_margin,0.08111719298245613
